	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0	  ( 2147483647 0 )	  ( 50 2 )	  ( 33 1 ) ( 50 2 )	  ( 20 29 ) ( 33 33 ) ( 28 30 )	  ( 50 13 )	  ( 33 1 ) ( 50 2 )	  ( 50 29 )	  ( 33 31 )	  ( 22 29 ) ( 40 30 )	  ( 20 23 ) ( 14 22 ) ( 50 36 ) ( 25 25 ) ( 28 35 )	  ( 50 17 )	  ( 50 13 )	  ( 50 12 )	  ( 50 1 )	  ( 20 18 ) ( 25 20 ) ( 50 31 )	  ( 20 21 ) ( 50 34 ) ( 40 28 ) ( 25 23 )	  ( 50 24 )	  ( 33 34 )	  ( 33 41 ) ( 20 37 ) ( 28 38 )	  ( 50 23 )	  ( 33 33 )	  ( 50 1 )	  ( 33 31 )	  ( 50 32 )	  ( 50 29 )	  ( 20 18 ) ( 25 20 ) ( 50 31 )	  ( 20 18 ) ( 33 30 ) ( 50 31 ) ( 25 20 )	  ( 50 18 )	  ( 25 24 ) ( 50 25 )	  ( 50 28 )	  ( 20 18 ) ( 50 32 ) ( 33 30 ) ( 25 20 )	  ( 20 23 ) ( 25 25 ) ( 40 28 )	  ( 20 18 ) ( 25 19 ) ( 50 29 )	  ( 50 14 )	  ( 20 28 ) ( 40 29 )	  ( 20 22 ) ( 28 28 ) ( 25 24 ) ( 50 35 ) ( 40 29 )	  ( 33 36 )	  ( 20 22 ) ( 25 24 ) ( 50 35 ) ( 28 34 )	  ( 20 22 ) ( 25 24 ) ( 40 29 )	  ( 20 22 ) ( 40 28 ) ( 25 24 )	  ( 50 1 )	  ( 20 18 ) ( 50 32 ) ( 33 30 ) ( 25 20 )	  ( 50 13 )	  ( 50 24 )	  ( 20 18 ) ( 25 20 ) ( 50 31 )	  ( 20 17 ) ( 25 19 ) ( 50 30 )	  ( 20 23 ) ( 50 24 )	  ( 20 18 ) ( 25 20 ) ( 50 31 )	  ( 20 22 ) ( 25 24 ) ( 40 28 )	  ( 25 24 ) ( 20 22 ) ( 40 27 )
1	  ( 50 2 )	  ( 2147483647 0 )	  ( 50 2 )	  ( 33 33 ) ( 28 30 )	  ( 50 14 )	  ( 50 2 )	  ( 50 29 )	  ( 33 31 )	  ( 22 29 ) ( 40 30 )	  ( 50 36 ) ( 25 25 ) ( 14 24 ) ( 28 35 )	  ( 50 15 )	  ( 50 14 )	  ( 50 14 )	  ( 50 1 )	  ( 25 20 ) ( 50 31 )	  ( 50 34 ) ( 40 28 ) ( 25 23 )	  ( 50 24 )	  ( 33 34 )	  ( 33 41 ) ( 20 37 ) ( 28 38 )	  ( 50 23 )	  ( 33 33 )	  ( 50 2 )	  ( 33 31 )	  ( 50 32 )	  ( 50 29 )	  ( 25 20 ) ( 50 31 )	  ( 33 30 ) ( 50 31 ) ( 25 20 )	  ( 50 18 )	  ( 25 24 ) ( 50 25 )	  ( 50 28 )	  ( 50 32 ) ( 33 30 ) ( 25 20 )	  ( 25 25 ) ( 40 28 )	  ( 25 19 ) ( 50 29 )	  ( 50 14 )	  ( 40 29 )	  ( 28 28 ) ( 25 24 ) ( 50 35 ) ( 40 29 )	  ( 33 36 )	  ( 25 24 ) ( 50 35 ) ( 28 34 )	  ( 25 24 ) ( 40 29 )	  ( 40 28 ) ( 25 24 )	  ( 50 2 )	  ( 50 32 ) ( 33 30 ) ( 25 20 )	  ( 50 13 )	  ( 50 24 )	  ( 25 20 ) ( 50 31 )	  ( 25 19 ) ( 50 30 )	  ( 50 24 )	  ( 25 20 ) ( 50 31 )	  ( 25 24 ) ( 40 28 )	  ( 25 24 ) ( 40 27 )
2	  ( 33 1 ) ( 50 2 )	  ( 50 2 )	  ( 2147483647 0 )	  ( 33 33 ) ( 28 30 )	  ( 50 14 )	  ( 50 2 )	  ( 50 29 )	  ( 33 31 )	  ( 22 29 ) ( 40 30 )	  ( 50 36 ) ( 25 25 ) ( 28 35 ) ( 14 23 ) ( 20 24 )	  ( 50 17 )	  ( 50 14 )	  ( 33 13 ) ( 50 14 )	  ( 50 1 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 50 34 ) ( 40 28 ) ( 25 23 ) ( 20 22 )	  ( 50 24 )	  ( 33 34 )	  ( 33 41 ) ( 20 37 ) ( 28 38 )	  ( 50 23 )	  ( 33 33 )	  ( 50 2 )	  ( 33 31 )	  ( 50 32 )	  ( 50 29 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 33 30 ) ( 50 31 ) ( 25 20 ) ( 20 19 )	  ( 50 18 )	  ( 25 24 ) ( 50 25 )	  ( 50 28 )	  ( 20 19 ) ( 50 32 ) ( 33 30 ) ( 25 20 )	  ( 25 25 ) ( 40 28 ) ( 20 24 )	  ( 25 19 ) ( 50 29 )	  ( 50 14 )	  ( 40 29 )	  ( 28 28 ) ( 25 24 ) ( 50 35 ) ( 20 23 ) ( 40 29 )	  ( 33 36 )	  ( 20 23 ) ( 25 24 ) ( 50 35 ) ( 28 34 )	  ( 25 24 ) ( 20 23 ) ( 40 29 )	  ( 20 23 ) ( 40 28 ) ( 25 24 )	  ( 50 2 )	  ( 50 32 ) ( 33 30 ) ( 25 20 ) ( 20 19 )	  ( 50 13 )	  ( 50 24 )	  ( 25 20 ) ( 50 31 ) ( 20 19 )	  ( 25 19 ) ( 50 30 ) ( 20 18 )	  ( 50 24 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 20 23 ) ( 25 24 ) ( 40 28 )	  ( 20 23 ) ( 25 24 ) ( 40 27 )
3	  ( 20 29 ) ( 28 30 ) ( 33 33 )	  ( 28 30 ) ( 33 33 )	  ( 28 30 ) ( 33 33 )	  ( 2147483647 0 )	  ( 28 18 ) ( 33 21 )	  ( 28 30 ) ( 33 33 )	  ( 33 4 ) ( 28 3 )	  ( 50 2 )	  ( 33 7 ) ( 28 2 )	  ( 28 17 ) ( 33 23 )	  ( 28 33 ) ( 33 36 )	  ( 28 18 ) ( 33 21 )	  ( 20 17 ) ( 28 18 ) ( 33 21 )	  ( 33 32 ) ( 28 29 )	  ( 28 13 ) ( 33 18 )	  ( 33 15 ) ( 28 10 )	  ( 25 7 ) ( 28 8 ) ( 33 11 )	  ( 50 5 )	  ( 50 8 )	  ( 28 7 ) ( 33 10 )	  ( 50 4 )	  ( 28 30 ) ( 33 33 )	  ( 50 2 )	  ( 33 3 )	  ( 33 6 ) ( 28 2 )	  ( 25 12 ) ( 28 13 ) ( 33 18 )	  ( 28 12 ) ( 33 17 )	  ( 28 12 ) ( 33 15 )	  ( 28 7 ) ( 33 12 )	  ( 33 5 ) ( 28 2 )	  ( 28 12 ) ( 33 17 )	  ( 28 10 ) ( 33 15 )	  ( 28 11 ) ( 33 16 )	  ( 28 18 ) ( 33 21 )	  ( 28 1 ) ( 33 6 )	  ( 28 10 ) ( 33 16 )	  ( 50 7 )	  ( 33 22 ) ( 28 16 )	  ( 25 10 ) ( 28 11 ) ( 33 16 )	  ( 28 10 ) ( 33 15 )	  ( 28 30 ) ( 33 33 )	  ( 28 12 ) ( 33 17 )	  ( 28 17 ) ( 33 20 )	  ( 25 7 ) ( 28 8 ) ( 33 11 )	  ( 28 13 ) ( 33 18 )	  ( 28 12 ) ( 33 17 )	  ( 28 6 ) ( 33 11 )	  ( 28 13 ) ( 25 12 ) ( 33 18 )	  ( 28 10 ) ( 33 15 )	  ( 28 9 ) ( 33 14 )
4	  ( 50 13 )	  ( 50 14 )	  ( 50 14 )	  ( 33 21 ) ( 28 18 )	  ( 2147483647 0 )	  ( 50 14 )	  ( 50 17 )	  ( 33 19 )	  ( 22 17 ) ( 40 18 )	  ( 14 11 ) ( 25 13 ) ( 50 24 ) ( 20 12 ) ( 28 23 )	  ( 50 17 )	  ( 50 2 )	  ( 50 1 )	  ( 50 13 )	  ( 20 7 ) ( 25 8 ) ( 50 19 )	  ( 25 11 ) ( 50 22 ) ( 40 16 ) ( 20 10 )	  ( 50 12 )	  ( 33 22 )	  ( 33 29 ) ( 20 25 ) ( 28 26 )	  ( 50 11 )	  ( 33 21 )	  ( 50 14 )	  ( 33 19 )	  ( 50 20 )	  ( 50 17 )	  ( 20 7 ) ( 25 8 ) ( 50 19 )	  ( 33 18 ) ( 50 19 ) ( 25 8 ) ( 20 7 )	  ( 50 6 )	  ( 25 12 ) ( 50 13 )	  ( 50 16 )	  ( 20 7 ) ( 50 20 ) ( 33 18 ) ( 25 8 )	  ( 20 12 ) ( 25 13 ) ( 40 16 )	  ( 25 7 ) ( 50 17 )	  ( 50 2 )	  ( 40 17 )	  ( 28 16 ) ( 25 12 ) ( 20 11 ) ( 50 23 ) ( 40 17 )	  ( 33 24 )	  ( 25 12 ) ( 28 22 ) ( 20 11 ) ( 50 23 )	  ( 20 11 ) ( 25 12 ) ( 40 17 )	  ( 40 16 ) ( 25 12 ) ( 20 11 )	  ( 50 14 )	  ( 20 7 ) ( 50 20 ) ( 33 18 ) ( 25 8 )	  ( 50 1 )	  ( 50 12 )	  ( 20 7 ) ( 25 8 ) ( 50 19 )	  ( 25 7 ) ( 50 18 ) ( 20 6 )	  ( 50 12 )	  ( 20 7 ) ( 25 8 ) ( 50 19 )	  ( 25 12 ) ( 40 16 ) ( 20 11 )	  ( 20 11 ) ( 25 12 ) ( 40 15 )
5	  ( 33 1 ) ( 50 2 )	  ( 50 2 )	  ( 50 2 )	  ( 33 33 ) ( 28 30 )	  ( 50 14 )	  ( 2147483647 0 )	  ( 50 29 )	  ( 33 31 )	  ( 22 29 ) ( 40 30 )	  ( 50 36 ) ( 25 25 ) ( 28 35 ) ( 14 23 ) ( 20 24 )	  ( 50 17 )	  ( 50 14 )	  ( 33 13 ) ( 50 14 )	  ( 50 1 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 50 34 ) ( 40 28 ) ( 20 22 ) ( 25 23 )	  ( 50 24 )	  ( 33 34 )	  ( 33 41 ) ( 20 37 ) ( 28 38 )	  ( 50 23 )	  ( 33 33 )	  ( 50 2 )	  ( 33 31 )	  ( 50 32 )	  ( 50 29 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 20 19 ) ( 33 30 ) ( 50 31 ) ( 25 20 )	  ( 50 18 )	  ( 25 24 ) ( 50 25 )	  ( 50 28 )	  ( 20 19 ) ( 50 32 ) ( 33 30 ) ( 25 20 )	  ( 20 24 ) ( 25 25 ) ( 40 28 )	  ( 25 19 ) ( 50 29 )	  ( 50 14 )	  ( 40 29 )	  ( 28 28 ) ( 25 24 ) ( 50 35 ) ( 20 23 ) ( 40 29 )	  ( 33 36 )	  ( 20 23 ) ( 25 24 ) ( 50 35 ) ( 28 34 )	  ( 25 24 ) ( 20 23 ) ( 40 29 )	  ( 20 23 ) ( 40 28 ) ( 25 24 )	  ( 50 2 )	  ( 50 32 ) ( 33 30 ) ( 25 20 ) ( 20 19 )	  ( 50 13 )	  ( 50 24 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 20 18 ) ( 25 19 ) ( 50 30 )	  ( 50 24 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 20 23 ) ( 25 24 ) ( 40 28 )	  ( 25 24 ) ( 40 27 ) ( 20 23 )
6	  ( 50 29 )	  ( 50 29 )	  ( 50 29 )	  ( 33 4 ) ( 28 3 )	  ( 50 17 )	  ( 50 29 )	  ( 2147483647 0 )	  ( 33 2 )	  ( 22 2 ) ( 40 3 )	  ( 50 19 ) ( 14 17 ) ( 28 18 )	  ( 50 32 )	  ( 50 17 )	  ( 50 17 )	  ( 50 28 )	  ( 50 14 ) ( 25 13 )	  ( 50 17 ) ( 40 11 )	  ( 50 7 )	  ( 33 5 )	  ( 33 12 ) ( 20 8 ) ( 28 11 )	  ( 50 6 )	  ( 33 4 )	  ( 50 29 )	  ( 33 2 )	  ( 50 3 )	  ( 50 2 )	  ( 50 14 ) ( 25 13 )	  ( 33 13 ) ( 50 14 )	  ( 50 11 )	  ( 25 7 ) ( 50 8 )	  ( 50 1 )	  ( 50 15 ) ( 33 13 )	  ( 40 11 )	  ( 50 12 )	  ( 50 17 )	  ( 40 2 )	  ( 28 11 ) ( 40 12 ) ( 50 18 )	  ( 33 7 )	  ( 50 18 ) ( 28 17 )	  ( 40 12 ) ( 25 11 )	  ( 40 11 )	  ( 50 29 )	  ( 33 13 ) ( 50 15 )	  ( 50 16 )	  ( 50 7 )	  ( 50 14 ) ( 25 13 )	  ( 25 12 ) ( 50 13 )	  ( 50 7 )	  ( 50 14 ) ( 25 13 )	  ( 40 11 )	  ( 40 10 )
7	  ( 33 31 )	  ( 33 31 )	  ( 33 31 )	  ( 50 2 )	  ( 33 19 )	  ( 33 31 )	  ( 33 2 )	  ( 2147483647 0 )	  ( 28 4 ) ( 33 5 )	  ( 33 21 ) ( 28 19 )	  ( 33 34 )	  ( 33 19 )	  ( 33 19 )	  ( 33 30 )	  ( 28 15 ) ( 33 16 )	  ( 33 13 ) ( 28 12 )	  ( 33 9 )	  ( 50 7 )	  ( 50 10 )	  ( 33 8 )	  ( 50 6 )	  ( 33 31 )	  ( 50 4 )	  ( 33 5 )	  ( 33 4 )	  ( 25 14 ) ( 28 15 ) ( 33 16 )	  ( 28 14 ) ( 33 15 )	  ( 33 13 )	  ( 28 9 ) ( 33 10 )	  ( 33 3 )	  ( 28 14 ) ( 33 15 )	  ( 33 13 ) ( 28 12 )	  ( 33 14 ) ( 28 13 )	  ( 33 19 )	  ( 28 3 ) ( 33 4 )	  ( 28 12 ) ( 33 14 )	  ( 50 9 )	  ( 28 18 ) ( 33 20 )	  ( 33 14 ) ( 25 12 ) ( 28 13 )	  ( 33 13 ) ( 28 12 )	  ( 33 31 )	  ( 28 14 ) ( 33 15 )	  ( 33 18 )	  ( 33 9 )	  ( 28 15 ) ( 33 16 )	  ( 28 14 ) ( 33 15 )	  ( 28 8 ) ( 33 9 )	  ( 33 16 ) ( 25 14 ) ( 28 15 )	  ( 28 12 ) ( 33 13 )	  ( 33 12 ) ( 28 11 )
8	  ( 22 29 ) ( 40 30 )	  ( 22 29 ) ( 40 30 )	  ( 22 29 ) ( 40 30 )	  ( 28 2 ) ( 33 7 )	  ( 40 18 ) ( 22 17 )	  ( 22 29 ) ( 40 30 )	  ( 22 2 ) ( 40 3 )	  ( 33 5 ) ( 28 4 )	  ( 2147483647 0 )	  ( 40 18 ) ( 28 17 )	  ( 40 33 ) ( 22 32 )	  ( 22 17 ) ( 40 18 )	  ( 22 17 ) ( 40 18 )	  ( 22 28 ) ( 40 29 )	  ( 40 13 )	  ( 40 10 )	  ( 25 7 ) ( 40 8 )	  ( 28 7 ) ( 33 8 )	  ( 28 10 ) ( 33 15 )	  ( 40 7 ) ( 22 6 )	  ( 28 6 ) ( 33 7 )	  ( 22 29 ) ( 40 30 )	  ( 33 5 ) ( 28 4 )	  ( 28 5 ) ( 40 6 )	  ( 28 2 ) ( 40 3 )	  ( 25 12 ) ( 40 13 )	  ( 33 12 ) ( 40 13 )	  ( 22 11 ) ( 40 12 )	  ( 40 7 )	  ( 22 1 ) ( 40 2 )	  ( 33 12 ) ( 40 14 )	  ( 40 10 )	  ( 40 11 )	  ( 40 18 ) ( 22 17 )	  ( 50 1 )	  ( 28 10 ) ( 40 11 )	  ( 28 9 ) ( 33 10 )	  ( 40 17 ) ( 28 16 )	  ( 25 10 ) ( 40 11 )	  ( 40 10 )	  ( 40 30 ) ( 22 29 )	  ( 33 12 ) ( 40 14 )	  ( 22 16 ) ( 40 17 )	  ( 25 7 ) ( 40 8 )	  ( 40 13 )	  ( 40 12 )	  ( 40 6 )	  ( 40 13 ) ( 25 12 )	  ( 40 10 )	  ( 40 9 )
9	  ( 25 25 ) ( 20 23 ) ( 14 22 ) ( 50 36 ) ( 28 35 )	  ( 14 24 ) ( 50 36 ) ( 25 25 ) ( 28 35 )	  ( 14 23 ) ( 20 24 ) ( 28 35 ) ( 25 25 ) ( 50 36 )	  ( 28 17 ) ( 33 23 )	  ( 14 11 ) ( 20 12 ) ( 28 23 ) ( 50 24 ) ( 25 13 )	  ( 20 24 ) ( 50 36 ) ( 25 25 ) ( 28 35 ) ( 14 23 )	  ( 14 17 ) ( 28 18 ) ( 50 19 )	  ( 33 21 ) ( 28 19 )	  ( 40 18 ) ( 28 17 )	  ( 2147483647 0 )	  ( 28 38 ) ( 14 27 ) ( 50 39 ) ( 25 28 )	  ( 14 11 ) ( 25 13 ) ( 50 24 ) ( 28 23 ) ( 20 12 )	  ( 14 10 ) ( 25 13 ) ( 50 24 ) ( 20 11 ) ( 28 23 )	  ( 25 24 ) ( 28 34 ) ( 50 35 ) ( 14 23 )	  ( 14 4 ) ( 50 7 )	  ( 50 8 )	  ( 28 13 ) ( 25 12 ) ( 50 14 )	  ( 28 22 ) ( 33 24 )	  ( 28 25 ) ( 33 31 )	  ( 14 11 ) ( 50 13 ) ( 28 12 )	  ( 28 21 ) ( 33 23 )	  ( 20 24 ) ( 25 25 ) ( 50 36 ) ( 28 35 ) ( 14 23 )	  ( 33 21 ) ( 28 19 )	  ( 28 20 ) ( 50 22 )	  ( 28 17 ) ( 50 19 )	  ( 14 5 ) ( 25 6 ) ( 50 7 )	  ( 14 6 ) ( 50 7 )	  ( 28 17 ) ( 25 7 ) ( 14 6 ) ( 50 18 )	  ( 28 12 ) ( 50 13 )	  ( 14 16 ) ( 50 18 ) ( 28 17 )	  ( 14 6 ) ( 33 7 ) ( 50 8 )	  ( 28 9 ) ( 40 10 )	  ( 14 6 ) ( 50 7 )	  ( 14 12 ) ( 50 24 ) ( 25 13 ) ( 28 23 )	  ( 40 17 ) ( 28 16 )	  ( 50 7 )	  ( 33 26 ) ( 28 24 )	  ( 50 1 )	  ( 40 9 )	  ( 28 9 ) ( 40 10 )	  ( 14 23 ) ( 20 24 ) ( 28 35 ) ( 25 25 ) ( 50 36 )	  ( 14 6 ) ( 33 7 ) ( 50 8 )	  ( 25 12 ) ( 50 23 ) ( 28 22 ) ( 14 11 )	  ( 28 13 ) ( 50 14 ) ( 25 12 )	  ( 50 5 )	  ( 14 5 ) ( 50 6 )	  ( 50 12 ) ( 28 11 )	  ( 14 5 ) ( 25 6 ) ( 50 7 )	  ( 40 9 )	  ( 28 8 ) ( 40 9 )
